host	logname	time	method	url	response	bytes	referer	useragent
js002.cc.utsunomiya-u.ac.jp	-	807249935	GET	/shuttle/missions/sts-70/mission-sts-70.html	200	20224		
ppp8.montrealnet.ca	-	807249936	GET	/images/launch-logo.gif	200	1713		
ppp8.montrealnet.ca	-	807249936	GET	/history/apollo/images/apollo-logo1.gif	200	1173		
van10271.direct.ca	-	807249949	GET	/software/winvn/winvn.html	200	9866		
133.43.96.45	-	807249951	GET	/shuttle/missions/sts-57/mission-sts-57.html	200	11508		
van10271.direct.ca	-	807249951	GET	/software/winvn/winvn.gif	200	25218		
van10271.direct.ca	-	807249951	GET	/images/construct.gif	200	1414		
van10271.direct.ca	-	807249951	GET	/software/winvn/bluemarb.gif	200	4441		
js002.cc.utsunomiya-u.ac.jp	-	807249952	GET	/shuttle/missions/sts-70/sts-70-patch-small.gif	200	5978		
134.h-pm2.vgs3.westel.com	-	807249953	GET	/software/winvn/winvn.html	200	9866		
134.h-pm2.vgs3.westel.com	-	807249955	GET	/software/winvn/winvn.gif	200	25218		
134.h-pm2.vgs3.westel.com	-	807249955	GET	/software/winvn/bluemarb.gif	200	4441		
134.h-pm2.vgs3.westel.com	-	807249955	GET	/images/construct.gif	200	1414		
ix-dfw12-08.ix.netcom.com	-	807249955	GET	/software/winvn/userguide/wvnguide.html	200	5998		
134.h-pm2.vgs3.westel.com	-	807249957	GET	/software/winvn/wvsmall.gif	200	13372		
ix-dfw12-08.ix.netcom.com	-	807249957	GET	/software/winvn/userguide/wvnguide.gif	200	4151		
haraway.ucet.ufl.edu	-	807249958	GET	/shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg	200	887988		
van10271.direct.ca	-	807249960	GET	/software/winvn/wvsmall.gif	200	13372		
133.43.96.45	-	807249960	GET	/facilities/lc39a.html	200	7008		
ix-dfw12-08.ix.netcom.com	-	807249962	GET	/software/winvn/userguide/winvnsm.gif	200	3293		
van10271.direct.ca	-	807249965	GET	/images/KSC-logosmall.gif	200	1204		
sutnbgw1.ed.noda.sut.ac.jp	-	807249965	GET	/ksc.html	200	7280		
van10271.direct.ca	-	807249968	GET	/images/MOSAIC-logosmall.gif	200	363		
van10271.direct.ca	-	807249970	GET	/images/USA-logosmall.gif	200	234		
133.43.96.45	-	807249970	GET	/images/lc39a-logo.gif	200	13116		
van15422.direct.ca	-	807249971	GET	/software/winvn/winvn.html	200	9866		
in24.inetnebr.com	-	807249971	GET	/shuttle/missions/sts-68/news/sts-68-mcc-15.txt	200	1588		
van10271.direct.ca	-	807249972	GET	/images/WORLD-logosmall.gif	200	669		
134.h-pm2.vgs3.westel.com	-	807249972	GET	/images/KSC-logosmall.gif	200	1204		
134.h-pm2.vgs3.westel.com	-	807249972	GET	/images/MOSAIC-logosmall.gif	200	363		
134.h-pm2.vgs3.westel.com	-	807249977	GET	/images/USA-logosmall.gif	200	234		
piweba1y.prodigy.com	-	807249977	GET	/history/gemini/gemini.html	200	2522		
www-d3.proxy.aol.com	-	807249977	GET	/shuttle/missions/sts-71/movies/sts-71-mir-dock-2.mpg	200	835394		
ix-dfw12-08.ix.netcom.com	-	807249980	GET	/software/winvn/winvn.html	200	9866		
ix-dfw12-08.ix.netcom.com	-	807249981	GET	/software/winvn/winvn.gif	200	25218		
ix-dfw12-08.ix.netcom.com	-	807249981	GET	/images/construct.gif	200	1414		
ix-dfw12-08.ix.netcom.com	-	807249981	GET	/software/winvn/bluemarb.gif	200	4441		
134.h-pm2.vgs3.westel.com	-	807249981	GET	/images/WORLD-logosmall.gif	200	669		
piweba4y.prodigy.com	-	807249984	GET	/images/ksclogosmall.gif	200	3635		
js002.cc.utsunomiya-u.ac.jp	-	807249985	GET	/shuttle/resources/orbiters/discovery.html	200	6849		
ad06-061.compuserve.com	-	807249988	GET	/history/apollo/apollo-13/apollo-13.html	200	18556		
ix-dfw12-08.ix.netcom.com	-	807249988	GET	/software/winvn/wvsmall.gif	200	13372		
js002.cc.utsunomiya-u.ac.jp	-	807249993	GET	/shuttle/resources/orbiters/discovery-logo.gif	200	4179		
ix-dfw12-08.ix.netcom.com	-	807249994	GET	/images/KSC-logosmall.gif	200	1204		
ix-dfw12-08.ix.netcom.com	-	807249994	GET	/images/MOSAIC-logosmall.gif	200	363		
haraway.ucet.ufl.edu	-	807249995	GET	/shuttle/missions/sts-71/movies/sts-71-rollover.mpg	200	569688		
